acc_x,acc_y,acc_z,acc,acc1_x,acc1_y,acc1_z,acc2_x,acc2_y,acc2_z,acc_x_std,acc_y_std,acc_z_std,acc_std,acc1_x_std,acc1_y_std,acc1_z_std,acc2_x_std,acc2_y_std,acc2_z_std,acc_max,acc_min,acc_z_max,acc_z_min,acc_fft_sum,acc_fft_0,acc_fft_1,acc_fft_2,acc_fft_3,acc_fft_4,acc_fft_5,acc_fft_6,acc_fft_7,acc_fft_8,acc_fft_9,acc_fft_10,acc_fft_11,acc_fft_12,acc_fft_13,acc_fft_14,acc_fft_15,acc_fft_16,acc_z_fft_sum,acc_z_fft_0,acc_z_fft_1,acc_z_fft_2,acc_z_fft_3,acc_z_fft_4,acc_z_fft_5,acc_z_fft_6,acc_z_fft_7,acc_z_fft_8,acc_z_fft_9,acc_z_fft_10,acc_z_fft_11,acc_z_fft_12,acc_z_fft_13,acc_z_fft_14,acc_z_fft_15,acc_z_fft_16,label
3.433077691,-0.872632813,-0.476233594,6.071189297,11.44338629,-4.94492427,-1.706916156,0.527248672,-0.618133754,12.68789123,5.034960066,2.640442718,1.917045911,3.451491467,5.080490807,3.439400639,1.805220335,3.609197253,2.215044501,4.440375833,15.125138,0.529828,3.6906,-5.3961,21.41217509,12.14237859,0.584881402,0.794823406,0.92377583,1.327674969,3.140210992,0.883079628,2.259484409,0.549112419,1.084766583,0.830505352,0.927236011,0.544636115,0.276009421,0.167452291,0.059723818,0.486527545,11.32489134,0.952467188,0.085329965,0.628120633,0.475791072,0.298726544,1.227530296,0.234872164,1.575164852,0.60456869,1.000076109,0.298938622,0.221032237,0.15210354,0.096255588,0.724962758,0.042087152,0.253862212,0
4.512813633,-1.524171094,-0.592089063,7.025222074,12.00377914,-6.241384523,-1.459265941,0.834183238,-0.969755477,13.71642591,5.409326305,2.750399961,2.156260182,3.885395954,5.465989575,3.847702433,2.161511664,4.448268573,2.808452337,4.135642313,16.00347,1.070282,7.0133,-5.7769,20.85571198,14.05044415,0.080308059,0.958716236,0.772697715,0.556320709,3.979458085,1.26970342,1.991466428,0.514023402,0.713218845,1.755910519,0.503323502,0.851005197,0.200921428,0.32430818,1.121857715,0.407320207,14.18179591,1.184178125,0.524347891,0.469057542,0.609271977,0.728077769,1.79288801,0.199358139,1.069112906,0.363391421,0.256934502,0.656080271,0.902402373,0.647597707,0.616596036,0.611726594,0.635300382,0.278605986,0
4.290132,-1.778467574,-0.428385938,6.96280568,12.07545558,-6.041767934,-1.353621789,0.054449793,-0.632754125,13.7686562,5.10181308,3.074532779,2.171708,3.661218271,5.360467878,3.885542074,2.168416065,4.253930538,2.634413974,4.206486836,16.00347,1.070282,7.0133,-5.7769,19.68541165,13.92561136,0.160481677,0.455711554,0.905945739,1.120286605,3.709250502,0.518554192,2.047382777,0.480611112,0.692700421,1.577495562,0.570618946,1.001261984,0.487946661,0.850197321,0.4694278,0.211824114,13.05256048,0.856771875,0.317156086,0.891214775,0.64527872,0.459399865,1.619735334,0.369303192,0.757416205,0.826931574,0.152186454,1.391037307,0.791456742,0.543922506,0.486969577,0.60013192,0.375587468,0.193029571,0
4.397946824,-2.232985152,-0.533967969,7.113512117,12.12124468,-6.528239828,-1.502511187,-0.413334664,-0.754496477,14.04433974,5.097627264,3.117013604,1.463422558,3.440226924,5.500255435,3.762049187,1.524202824,4.392933133,1.993865577,4.157932319,15.80766,1.071733,1.9378,-5.3196,18.19576204,14.22702423,0.399302082,0.644414097,0.910787503,0.91663151,3.67041629,0.470338288,1.631686972,1.054145504,0.897883357,0.877330106,0.198688802,1.062920897,0.316036419,0.651979229,0.454777721,0.104830997,9.565818702,1.067935938,0.083690386,0.688606067,0.750933021,0.54651058,1.069479481,0.269127723,0.505511317,0.395292219,0.34846642,0.599002956,0.124037051,0.279572598,0.096542164,0.476495221,0.444506896,0.110714776,0
4.021226102,-1.690797648,-0.577751172,6.870690484,11.53960327,-6.341941,-2.036118902,-0.008425824,-0.892514707,13.41879139,5.345827842,3.241795541,1.91271199,3.860316631,5.718964803,3.581267383,1.840540239,4.199495708,2.668087166,4.564317388,17.255742,0.856865,2.9604,-6.5371,22.55266957,13.74138097,0.39046208,0.797043346,0.814406366,0.366626239,4.136747341,0.590886315,1.440082397,1.3208559,0.854487115,0.973152327,0.22240153,1.291659909,0.626987069,0.862177546,0.806251341,0.078749876,16.74168735,1.155502344,0.132094889,0.535695157,0.529135376,0.517274083,1.302375523,0.524425609,0.760089453,0.943261663,0.625491679,0.82708972,0.31810529,0.168663741,0.684524118,0.385842129,0.543376638,0.238309313,0
3.528519082,-2.102947648,-0.464514844,6.722913531,11.04774445,-6.929867164,-1.705270133,-0.540292609,-0.82018298,13.2133984,5.274429119,2.965996364,2.106476702,3.597919285,5.610075552,3.243556241,1.928656831,4.075180165,2.667830115,4.406138824,17.255742,0.856865,4.4638,-6.0465,23.87597465,13.44582706,0.597628335,0.494516676,1.384167205,0.990879566,3.375766342,0.136836044,1.730431325,1.059084946,0.661944528,0.935503791,0.253231142,0.914032256,0.735600021,1.21738654,0.845183668,0.205383918,12.69044179,0.929029688,0.191866894,0.458967431,0.407918145,0.500149477,1.166840233,0.105107437,1.955932148,1.056857331,0.639452558,0.436901228,0.279242183,0.671971062,0.081446761,0.263663559,0.369650905,0.283071368,0
4.867528426,-2.678852711,-0.625707812,8.618785746,12.15431452,-7.244704676,-2.020556586,-0.348144949,-0.907905988,14.44964524,6.475392563,4.255864097,2.064843551,4.61343608,6.863537017,4.849410014,1.991996685,5.549503372,2.662710564,5.59141891,21.68173,0.574865,4.7734,-6.1271,23.47607775,17.23757149,0.154117762,1.028323908,0.59697271,1.020206642,5.141167014,0.665208861,1.777762807,0.775063653,1.716154292,1.719197686,0.020638366,1.068697419,0.464230478,0.937443506,0.443748455,0.285402533,13.49287618,1.251415625,0.229205657,0.591272675,0.420597099,1.188736764,0.985381756,0.528974753,1.502040249,0.296895131,0.596441577,0.900279867,0.309865661,0.689642939,0.394903563,0.342702139,0.677756699,0.249713384,0
4.092933512,-2.560939043,-0.782351172,7.985134582,11.11074187,-7.684040734,-2.208950324,-0.369341793,-1.066495543,13.92169963,6.558501205,3.929692265,1.597929902,4.601087949,7.048860182,4.372096733,1.514795895,5.148005048,2.222955167,5.651350387,20.693028,0.574865,2.3477,-5.842,23.5307371,15.97026916,0.557101666,1.616519158,0.274516321,0.478458295,4.976576851,0.278738725,1.896966087,1.337681875,0.317800583,2.129565038,0.540907423,1.215768402,0.699626817,0.259991427,0.935223074,0.370691566,10.30537603,1.564702344,0.126050169,0.473903349,0.469028824,0.32086935,1.084506172,0.297840162,0.691707962,0.872920477,0.009339638,0.458057013,0.377163223,0.615516266,0.155892129,0.299261909,0.954299231,0.193633987,0
3.942076129,-2.158962883,-0.565826172,6.931687531,11.56997969,-6.64809959,-1.696890453,-0.640760059,-0.907280902,13.614707,5.149251286,3.234451682,2.023651157,3.680296235,5.602721385,3.614811248,2.048574231,4.256303791,2.394581606,4.376183101,15.646618,0.234344,2.9416,-6.5122,18.30026923,13.86337506,0.076605504,0.518496112,0.733344625,0.8392841,4.035212232,0.224252468,1.869092215,1.403890534,0.678518394,1.27416078,0.193969722,0.708126842,0.428001612,0.222959285,0.433043279,0.102217489,12.17347826,1.131652344,0.168379017,0.547227276,0.953375588,0.244407405,0.250932274,0.270192956,1.773504154,0.864762806,0.513454233,1.136562727,0.486531014,0.357995535,0.375667892,0.326517206,0.383465282,0.226099491,0
3.15653434,-1.611743359,-0.424148828,6.514856395,10.51428636,-6.538115914,-1.525405785,-0.390523367,-0.771526809,12.72136221,5.363036823,2.989084433,1.874058356,3.392175731,5.841772541,3.462576964,1.854512448,4.064448651,2.361875996,4.527690703,14.8346,0.438251,2.9416,-6.5122,18.22851362,13.02971279,0.586964004,0.82054147,0.534289263,1.090502736,3.467731423,0.337667976,1.755763452,0.559788388,0.650374352,1.619762465,0.482045741,0.849869593,0.157635561,0.416641969,0.353601584,0.055108979,12.71985386,0.848297656,0.287585306,0.836627234,0.53086044,0.288434812,0.618611953,0.346541962,1.299589091,0.935273989,0.675740413,0.909726078,0.419493217,0.360407227,0.22399771,0.516967591,0.463034167,0.15133135,0
